SIMID RA DEC ANGD R0COV R1COV R0AMP FILT MAG CAT BS_BMAG BS_VMAG BSSkyD BSSpT BSRV SimBMAG SIMSpT SIMSkyD SIMRV ErrAmp AmpErrRatio
"b'* gam Aql'" 19.7710 10.6132 0.0438 0.0534 0.0000 0.0181 Vmag 2.6963 TESS 4.2400 2.7200 579.9762 K3II 17 4.2300 b'K3II' 222.5533 17.0000 1.1414 0.0159
"b'* zet Dra'" 17.1464 65.7147 1.4679 0.0769 0.7851 0.0047 Gmag 2.9935 GAIA 3.0500 3.1700 220.2998 B6III 31 3.0600 b'B6III' 97.9606 42.0000 0.3814 0.0124
"b'* nu. Oph'" 17.9838 -9.7736 2.8688 0.0594 1.0000 0.0027 Gmag 2.9779 GAIA 4.3300 3.3400 81.6867 K0IIIaCN-1 17 4.3300 b'G9IIIa' 64.1381 2.1000 1.2401 0.0022
"b'* zet Her'" 16.6881 31.6027 2.4499 0.0149 1.0000 0.0001 Vmag 2.8060 TESS 3.4600 2.8100 1324.7369 G0IV 10 3.4300 b'G0IV' 842.2770 3.1100 0.5565 0.0003
"b'* zet Aql'" 19.0902 13.8634 1.7911 0.0000 0.9828 0.0000 Gmag 2.8548 GAIA 3.0000 2.9900 395.6983 A0Vn 331 3.0000 b'A0IV-Vnn' 136.4719 317.0000 0.3643 0.0000
"b'* bet Aqr'" 21.5260 -5.5712 2.5052 0.0000 0.9117 0.0000 Vmag 2.8740 TESS 3.7400 2.9100 558.2484 G0Ib 18 3.7100 b'G0Ib' 89.4116 18.0000 0.7202 0.0000
"b'* ksi Cyg'" 21.0822 43.9278 4.6225 0.0000 0.8330 0.0000 Gmag 2.9411 GAIA 5.3700 3.7200 492.0189 K4.5Ib-II 17 5.3900 b'K4.5Ib-II' 28.7045 17.0000 3.2320 0.0000
"b'* eta Boo'" 13.9114 18.3977 2.3699 0.0000 0.7887 0.0000 Vmag 2.6627 TESS 3.2600 2.6800 539.5075 G0IV 13 3.2500 b'G0IV' 177.0436 15.4300 0.4628 0.0000
"b'* alf Oph'" 17.5822 12.5601 2.2077 0.0000 0.7773 0.0000 Vmag 2.0761 TESS 2.2300 2.0800 606.7608 A5III 219 2.2200 b'A5IVnn' 229.5842 228.0000 0.1792 0.0000
"b'* eps Cyg'" 20.7702 33.9703 5.0542 0.0000 0.6338 0.0000 Vmag 2.4710 TESS 3.4900 2.4600 222.8498 K0-III 17 3.5200 b'K0III' 156.4756 1.4000 0.5720 0.0000
"b'* eta Ser'" 18.3552 -2.8988 3.6384 0.0000 0.4749 0.0000 Gmag 2.8833 GAIA 4.2000 3.2600 179.6651 K0III-IV 19 4.1900 b'K0III-IV' 49.6014 2.6000 1.1001 0.0000
"b'* nu. UMa'" 11.3080 33.0943 4.5573 0.0000 0.4668 0.0000 Gmag 2.9719 GAIA 4.8800 3.4800 708.4370 K3-IIIBa0.3 19 4.8900 b'K3-III:' 46.2510 19.0000 2.0580 0.0000
"b'* alf Aql'" 19.8464 8.8684 3.2657 0.0000 0.4613 0.0000 Vmag 0.7490 TESS 0.9900 0.7700 242.9805 A7V 242 0.9800 b'A7Vn' 290.3044 203.0000 0.0572 0.0000
"b'* bet Her'" 16.5037 21.4896 3.4800 0.0000 0.3691 0.0000 Vmag 2.7724 TESS 3.7100 2.7700 445.0711 G7IIIa 19 3.7000 b'G7IIIaFe-0.5' 72.1245 3.0000 0.7005 0.0000
"b'* eps Vir'" 13.0363 10.9591 3.0453 0.0000 0.3650 0.0000 Vmag 2.8211 TESS 3.7700 2.8300 242.7629 G8IIIab 17 3.7100 b'G8III-IIIb' 193.6774 0.0000 0.7403 0.0000
"b'* iot Dra'" 15.4155 58.9661 3.6913 0.0000 0.3015 0.0000 Gmag 2.8471 GAIA 4.4500 3.2900 267.2635 K2III 17 4.4500 b'K2III' 15.7900 0.0000 1.3850 0.0000
"b'* alf Lyr'" 18.6156 38.7836 3.2000 0.0000 0.2179 0.0000 Vmag 0.0300 CEDARS 0.0300 0.0300 0.0000 A0Va 15 0.0300 b'A0Va' 508.4832 24.0000 0.0236 0.0000
"b'* gam Dra'" 17.9434 51.4889 11.0000 0.0000 0.0000 0.0000 Vmag 2.2300 CEDARS 3.7500 2.2300 0.0000 K5III 17 3.7600 b'K5III' 283.0870 6.0000 0.7268 0.0000
"b'* g Her'" 16.4774 41.8817 5.3031 0.0000 0.0000 0.0000 Gmag 2.6497 GAIA 6.5600 5.0400 541.9987 M6-III "" 6.5300 b'M6-III' 65.9571 "" 9.6714 0.0000
"b'* eta Dra'" 16.3999 61.5142 3.9609 0.0000 0.0000 0.0000 Vmag 2.7207 TESS 3.6500 2.7400 120.9191 G8-IIIab 17 3.6500 b'G8-IIIab' 98.9732 17.0000 0.6629 0.0000
"b'* eps Peg'" 21.7364 9.8751 8.4852 0.0000 0.0000 0.0000 Vmag 2.3522 TESS 3.9200 2.3900 867.9074 K2Ib 17 3.9100 b'K2Ib-II' 357.9334 17.0000 0.8500 0.0000
"b'* eps Boo A'" 14.7498 27.0742 5.0758 0.0000 0.0000 0.0000 Vmag 2.3609 TESS 3.6700 2.7000 697.4474 K0-II-III "" 3.6100 b'K0-II-III' 381.0351 "" 0.6752 0.0000
"b'* del Oph'" 16.2391 -3.6944 12.0000 0.0000 0.0000 0.0000 Vmag 2.7400 CEDARS 4.3200 2.7400 0.0000 M0.5III "" 4.3400 b'M0.5III' 724.4602 7.0000 1.2287 0.0000
"b'* bet UMi'" 14.8451 74.1555 9.1871 0.0000 0.0000 0.0000 Vmag 2.0569 TESS 3.5500 2.0800 307.7711 K4-III 17 3.5500 b'K4-III' 129.0301 17.0000 0.6045 0.0000
"b'* bet Oph'" 17.7245 4.5673 7.2210 0.0000 0.0000 0.0000 Vmag 2.7366 TESS 3.9300 2.7700 768.1696 K2III 17 3.9300 b'K2IIICN0.5' 16.3794 5.4000 0.8579 0.0000
"b'* alf UMa B'" 11.0621 61.7509 7.7189 0.0000 0.0000 0.0000 Vmag 1.7797 TESS 2.8600 1.7900 487.9435 K0IIIa 17 5.3400 b'A7.5' 308.8560 "" 0.3202 0.0000
"b'* alf Ser'" 15.7378 6.4257 5.6888 0.0000 0.0000 0.0000 Vmag 2.6145 TESS 3.8200 2.6500 836.9852 K2IIIbCN1 17 3.8000 b'K2IIIbCN1' 374.7739 4.3000 0.7752 0.0000
"b'* alf Boo'" 14.2610 19.1825 20.0000 0.0000 0.0000 0.0000 Vmag -0.0400 CEDARS 1.1900 -0.0400 0.0000 K1.5IIIFe-0.5 17 1.1800 b'K1.5IIIFe-0.5' 514.0859 4.2000 0.0688 0.0000
"b'* alf Boo'" 14.2610 19.1822 24.3778 0.0000 0.0000 0.0000 Vmag -0.1036 TESS 1.1900 -0.0400 1112.6291 K1.5IIIFe-0.5 17 1.1800 b'K1.5IIIFe-0.5' 764.0045 4.2000 0.0688 0.0000
