Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 5298" "01 07 46.760" "+41 30 47.74" 0.109 0.007 0.128472 0.003520 0.59018 -2.7816594 Simbad
"HIP 5387" "01 08 55.862" "+09 43 49.82" 0.083 0.006 0.098005 0.002772 0.45195 -2.5008147 Simbad
"HIP 5536" "01 10 58.708" "+56 46 27.86" 0.096 0.007 0.111410 0.003126 1.60715 -2.2014400 Simbad
"HIP 5554" "01 11 14.929" "+46 37 47.38" 0.088 0.006 0.107506 0.002952 1.09641 -3.2509590 Simbad
"HIP 5566" "01 11 25.572" "+64 12 09.64" 0.200 0.014 0.232497 0.006512 0.58278 -2.3212080 Simbad
"HIP 5589" "01 11 41.402" "+65 01 07.88" 0.181 0.013 0.216795 0.005898 1.14282 -2.7534697 Simbad
"HIP 5626" "01 12 16.819" "+79 40 26.27" 0.233 0.016 0.276344 0.007772 0.94677 -2.7090020 Simbad
"HIP 5795" "01 14 20.852" "+30 32 31.42" 0.093 0.006 0.108318 0.003006 0.62018 -2.5529401 Simbad
"HIP 5813" "01 14 35.798" "+49 25 46.72" 0.091 0.006 0.108452 0.002988 0.84649 -2.9087179 Simbad
"HIP 5939" "01 16 24.493" "+48 04 56.08" 0.116 0.008 0.146408 0.004195 1.53259 -3.8010066 Simbad
"HIP 5988" "01 17 00.824" "-42 31 57.84" 0.060 0.004 0.074048 0.002250 0.40554 -3.5119530 Simbad
"HIP 6261" "01 20 19.399" "+77 34 14.46" 0.718 0.050 0.617057 0.057210 0.59359 2.0188594 Simbad
"HIP 6300" "01 20 52.149" "+60 56 56.12" 0.078 0.005 0.095557 0.002836 0.95597 -3.5113232 Simbad
"HIP 6420" "01 22 24.984" "+80 07 45.68" 0.073 0.005 0.086361 0.002363 0.75550 -2.6722105 Simbad
"HIP 6560" "01 24 18.675" "+43 08 31.55" 0.147 0.010 0.171507 0.004836 1.44406 -2.4507298 Simbad
"HIP 6823" "01 27 46.888" "+40 20 08.89" 0.133 0.009 0.154413 0.004284 0.74286 -2.3792105 Simbad
"HIP 7147" "01 32 07.577" "+34 47 59.87" 0.111 0.008 0.135772 0.003839 0.58786 -3.0964444 Simbad
"HIP 7222" "01 33 03.526" "-09 00 52.79" 0.123 0.009 0.141482 0.003885 0.93280 -2.0535116 Simbad
"HIP 7321" "01 34 16.607" "+37 14 13.74" 0.157 0.011 0.194232 0.005351 1.94333 -3.3846822 Simbad
"HIP 7457" "01 36 03.085" "+47 06 52.08" 0.095 0.007 0.114148 0.003316 0.38159 -2.7354114 Simbad
"HIP 7651" "01 38 31.823" "+45 23 58.95" 0.136 0.009 0.176145 0.005187 1.18226 -4.4605720 Simbad
"HIP 7676" "01 38 49.994" "-25 01 19.93" 0.112 0.008 0.131037 0.003862 0.44625 -2.3796427 Simbad
"HIP 7700" "01 39 07.731" "+36 32 36.05" 0.099 0.007 0.117268 0.003242 1.22255 -2.6096487 Simbad
"HIP 7812" "01 40 30.985" "+59 03 10.17" 0.106 0.007 0.125993 0.003750 0.93380 -2.8561450 Simbad
"HIP 7813" "01 40 31.630" "+81 25 47.35" 0.095 0.007 0.120597 0.003675 0.57754 -3.6567800 Simbad
"HIP 7846" "01 40 53.080" "+77 58 08.36" 0.124 0.009 0.147148 0.004496 0.52034 -2.5720532 Simbad
"HIP 7943" "01 42 03.490" "+35 14 44.54" 0.180 0.012 0.216539 0.006007 1.10980 -3.0449020 Simbad
"HIP 7948" "01 42 05.925" "+29 30 21.84" 0.101 0.007 0.115453 0.003130 0.87175 -2.0647080 Simbad
