Name RAJ2000 DEJ2000 LDD1 e_LDD1 LDD2 e_LDD2 LDDchi2 dLDD Simbad
"HIP 32646" "06 48 37.270" "-28 12 55.51" 0.080 0.005 0.101860 0.002821 0.44979 -4.3720098 Simbad
"HIP 32668" "06 48 49.232" "-34 56 12.49" 0.103 0.007 0.125867 0.003709 0.53251 -3.2667112 Simbad
"HIP 32683" "06 49 05.473" "-49 11 20.82" 0.056 0.004 0.071935 0.002322 0.47902 -3.9836614 Simbad
"HIP 32691" "06 49 13.532" "-46 42 34.46" 0.093 0.006 0.111320 0.003045 0.33425 -3.0534031 Simbad
"HIP 32745" "06 49 44.288" "-01 20 23.76" 0.078 0.005 0.096847 0.002826 0.94895 -3.7693740 Simbad
"HIP 32788" "06 50 10.814" "-33 53 08.62" 0.081 0.006 0.101305 0.002981 0.37665 -3.3840970 Simbad
"HIP 32796" "06 50 13.915" "-52 48 00.03" 0.062 0.004 0.079392 0.002463 0.18857 -4.3480973 Simbad
"HIP 32807" "06 50 21.028" "-06 11 34.08" 0.070 0.005 0.085559 0.002497 0.24494 -3.1117857 Simbad
"HIP 32839" "06 50 43.260" "-04 15 58.37" 0.095 0.007 0.109292 0.003049 0.43281 -2.0416932 Simbad
"HIP 32864" "06 50 57.090" "+67 34 18.97" 0.165 0.011 0.189696 0.006322 0.00602 -2.2450712 Simbad
"HIP 32890" "06 51 11.107" "+58 25 03.45" 0.090 0.006 0.102062 0.002721 0.79301 -2.0102499 Simbad
"HIP 32905" "06 51 21.952" "-32 11 01.22" 0.093 0.006 0.107525 0.003021 0.32118 -2.4207570 Simbad
"HIP 32910" "06 51 25.983" "-40 33 01.03" 0.076 0.005 0.095928 0.002671 0.70794 -3.9855227 Simbad
"HIP 33015" "06 52 47.139" "-43 58 32.10" 0.109 0.008 0.135088 0.003889 0.17220 -3.2610016 Simbad
"HIP 33091" "06 53 32.506" "-54 28 03.82" 0.053 0.004 0.062759 0.001852 0.49715 -2.4397457 Simbad
"HIP 33104" "06 53 42.248" "+68 53 17.91" 0.203 0.014 0.236444 0.020060 0.18638 -2.3888710 Simbad
"HIP 33126" "06 53 55.453" "-24 32 19.52" 0.166 0.011 0.189771 0.005752 0.33799 -2.1609704 Simbad
"HIP 33133" "06 53 57.075" "+38 30 18.07" 0.124 0.009 0.156028 0.004504 0.55461 -3.5586193 Simbad
"HIP 33150" "06 54 07.582" "+32 30 40.94" 0.104 0.007 0.126045 0.003628 0.53845 -3.1492603 Simbad
"HIP 33175" "06 54 18.782" "-06 23 21.30" 0.075 0.005 0.088244 0.002731 0.19053 -2.6488110 Simbad
"HIP 33273" "06 55 15.873" "-70 29 20.67" 0.107 0.007 0.125408 0.003821 0.27123 -2.6297260 Simbad
"HIP 33359" "06 56 17.885" "-38 36 34.75" 0.078 0.005 0.094028 0.002674 0.77083 -3.2055423 Simbad
"HIP 33365" "06 56 20.931" "-37 31 17.11" 0.063 0.004 0.074245 0.002395 0.18090 -2.8113163 Simbad
"HIP 33377" "06 56 32.057" "+46 16 26.40" 0.153 0.011 0.189755 0.005238 0.92482 -3.3413415 Simbad
"HIP 33425" "06 57 02.211" "-50 04 29.12" 0.064 0.004 0.075248 0.002321 0.18945 -2.8119757 Simbad
"HIP 33454" "06 57 20.186" "+70 05 16.36" 0.067 0.005 0.077475 0.002120 0.75066 -2.0950153 Simbad
"HIP 33473" "06 57 28.407" "-55 40 03.91" 0.076 0.005 0.093077 0.002616 0.39130 -3.4154997 Simbad
"HIP 33510" "06 57 56.953" "-49 08 48.25" 0.082 0.006 0.098590 0.002905 0.01808 -2.7650460 Simbad
"HIP 33517" "06 58 00.684" "-46 05 45.07" 0.104 0.007 0.132652 0.003772 0.67473 -4.0931530 Simbad
"HIP 33519" "06 58 00.794" "+48 29 46.51" 0.067 0.005 0.079488 0.002313 0.64091 -2.4976537 Simbad
"HIP 33556" "06 58 24.246" "-16 03 16.58" 0.086 0.006 0.106120 0.002977 0.87808 -3.3533450 Simbad
"HIP 33590" "06 58 41.730" "-45 46 03.35" 0.160 0.011 0.183817 0.005082 0.87631 -2.1651373 Simbad
"HIP 33591" "06 58 43.698" "-30 59 52.93" 0.087 0.006 0.099523 0.003375 0.04046 -2.0872293 Simbad
"HIP 33609" "06 58 59.980" "-47 01 24.05" 0.094 0.006 0.111190 0.003135 0.76658 -2.8650799 Simbad
"HIP 33717" "07 00 16.731" "-60 51 45.84" 0.065 0.004 0.084118 0.002436 0.17192 -4.7795415 Simbad
"HIP 33735" "07 00 28.611" "-08 51 57.68" 0.039 0.003 0.047372 0.001319 0.05669 -2.7907340 Simbad
"HIP 33753" "07 00 39.312" "+12 44 24.05" 0.090 0.006 0.102367 0.002776 0.66577 -2.0612454 Simbad
"HIP 33803" "07 01 05.661" "-40 47 41.81" 0.081 0.006 0.103770 0.003080 0.67853 -3.7949433 Simbad
"HIP 33825" "07 01 18.297" "-50 28 00.19" 0.088 0.006 0.104716 0.003131 0.17719 -2.7860813 Simbad
"HIP 33892" "07 02 06.948" "-50 25 47.79" 0.078 0.005 0.093456 0.002750 0.18995 -3.0912178 Simbad
"HIP 33909" "07 02 15.480" "-43 24 13.92" 0.129 0.009 0.159263 0.004549 0.71461 -3.3625498 Simbad
"HIP 33948" "07 02 40.425" "-13 11 23.14" 0.068 0.005 0.078558 0.002256 0.26587 -2.1116480 Simbad
"HIP 33970" "07 02 54.560" "-24 34 59.21" 0.090 0.006 0.108186 0.003288 0.54971 -3.0309942 Simbad
"HIP 34032" "07 03 37.175" "-02 28 27.03" 0.068 0.005 0.081205 0.002398 0.18158 -2.6410952 Simbad
"HIP 34094" "07 04 09.535" "+18 40 07.68" 0.109 0.008 0.128465 0.003450 0.65059 -2.4330970 Simbad
"HIP 34112" "07 04 22.637" "+04 34 19.53" 0.084 0.006 0.096373 0.002749 0.17191 -2.0622127 Simbad
"HIP 34113" "07 04 25.020" "-43 44 10.56" 0.060 0.004 0.074624 0.002129 0.79300 -3.6561217 Simbad
"HIP 34125" "07 04 33.452" "-58 49 47.01" 0.060 0.004 0.074974 0.002051 0.93108 -3.7434370 Simbad
"HIP 34192" "07 05 24.138" "-38 14 02.12" 0.079 0.005 0.092775 0.002827 0.41909 -2.7549775 Simbad
"HIP 34216" "07 05 39.687" "-37 37 46.29" 0.056 0.004 0.064587 0.002084 0.15865 -2.1468213 Simbad
"HIP 34237" "07 05 50.750" "+17 25 42.67" 0.051 0.004 0.059478 0.001804 0.26994 -2.1194823 Simbad
"HIP 34275" "07 06 20.688" "-37 42 34.55" 0.084 0.006 0.101992 0.003001 0.27352 -2.9985929 Simbad
"HIP 34276" "07 06 20.932" "-43 36 38.72" 0.141 0.010 0.161781 0.004524 0.34281 -2.0781220 Simbad
"HIP 34291" "07 06 32.887" "-59 59 48.54" 0.085 0.006 0.097422 0.002650 0.31964 -2.0703910 Simbad
"HIP 34367" "07 07 24.878" "+28 10 36.11" 0.119 0.008 0.147919 0.004297 0.74258 -3.6148763 Simbad
"HIP 34477" "07 08 44.396" "-34 03 36.44" 0.046 0.003 0.056118 0.001650 0.69385 -3.3727748 Simbad
"HIP 34480" "07 08 44.928" "+64 22 07.34" 0.059 0.004 0.069073 0.001862 1.00298 -2.5182310 Simbad
"HIP 34506" "07 08 58.128" "-45 19 52.68" 0.087 0.006 0.111910 0.003121 0.83570 -4.1516695 Simbad
"HIP 34515" "07 09 06.873" "+28 57 11.94" 0.054 0.004 0.064655 0.001771 0.68817 -2.6636374 Simbad
"HIP 34595" "07 09 56.203" "-34 01 52.65" 0.042 0.003 0.050351 0.001401 0.45135 -2.7836910 Simbad
"HIP 34749" "07 11 38.145" "+23 13 25.46" 0.050 0.003 0.059879 0.001630 0.88817 -3.2931392 Simbad
"HIP 34838" "07 12 34.654" "-36 14 02.70" 0.084 0.006 0.103925 0.002945 1.06531 -3.3208082 Simbad
"HIP 34855" "07 12 46.337" "-57 29 26.61" 0.149 0.010 0.169883 0.004803 0.29631 -2.0883234 Simbad
"HIP 34901" "07 13 15.866" "-64 52 24.57" 0.078 0.005 0.098594 0.002825 0.69927 -4.1187167 Simbad
"HIP 34953" "07 13 56.150" "-09 27 20.26" 0.064 0.004 0.074465 0.002135 0.50714 -2.6161520 Simbad
"HIP 34955" "07 13 57.940" "-50 28 17.62" 0.114 0.008 0.132556 0.003781 0.20279 -2.3195622 Simbad
"HIP 34995" "07 14 26.550" "+24 42 40.10" 0.103 0.007 0.136098 0.003723 1.65976 -4.7282767 Simbad
"HIP 35012" "07 14 34.183" "-25 18 08.63" 0.084 0.006 0.101471 0.003018 0.73331 -2.9117987 Simbad
"HIP 35020" "07 14 38.141" "-48 16 18.94" 0.260 0.018 0.304252 0.008984 0.06970 -2.4584217 Simbad
"HIP 35030" "07 14 46.244" "-35 14 51.63" 0.046 0.003 0.058767 0.001645 0.71188 -4.2557826 Simbad
"HIP 35040" "07 14 50.652" "-41 10 07.47" 0.069 0.005 0.088519 0.002690 0.38022 -3.9037333 Simbad
"HIP 35131" "07 15 46.592" "-53 36 07.44" 0.068 0.005 0.080974 0.002279 0.36964 -2.5948480 Simbad
"HIP 35147" "07 15 55.029" "-42 08 24.76" 0.071 0.005 0.089906 0.002773 0.19964 -3.7812054 Simbad
"HIP 35183" "07 16 15.935" "-54 13 34.42" 0.080 0.005 0.094243 0.002903 0.18952 -2.8486880 Simbad
"HIP 35202" "07 16 31.851" "-38 19 08.14" 0.125 0.009 0.143353 0.004636 0.05019 -2.0392125 Simbad
"HIP 35249" "07 17 00.647" "-33 02 46.25" 0.068 0.005 0.079251 0.002503 0.74002 -2.2502513 Simbad
"HIP 35262" "07 17 07.199" "-28 36 01.39" 0.108 0.007 0.123253 0.003373 0.52288 -2.1789830 Simbad
"HIP 35269" "07 17 12.342" "+11 07 35.26" 0.080 0.006 0.100837 0.002843 0.46817 -3.4728150 Simbad
"HIP 35298" "07 17 30.541" "+31 41 52.99" 0.107 0.007 0.129071 0.003716 0.82357 -3.1530356 Simbad
"HIP 35300" "07 17 31.604" "-05 49 21.50" 0.078 0.005 0.095804 0.002783 0.70380 -3.5608666 Simbad
"HIP 35321" "07 17 45.284" "+51 39 04.85" 0.068 0.005 0.081273 0.002224 0.99940 -2.6546180 Simbad
"HIP 35326" "07 17 48.012" "-26 47 51.20" 0.093 0.006 0.110778 0.003481 0.22836 -2.9629805 Simbad
"HIP 35345" "07 18 04.092" "+30 57 21.13" 0.157 0.011 0.186776 0.005183 0.89309 -2.7068717 Simbad
"HIP 35350" "07 18 05.579" "+16 32 25.38" 0.578 0.040 0.691351 0.076697 0.01679 -2.8337836 Simbad
"HIP 35406" "07 18 38.185" "-36 44 33.85" 0.153 0.011 0.177030 0.006090 0.44670 -2.1845632 Simbad
"HIP 35408" "07 18 38.841" "-63 23 12.12" 0.080 0.006 0.098074 0.003285 0.32358 -3.0123615 Simbad
"HIP 35418" "07 18 45.736" "-55 16 50.05" 0.070 0.005 0.085261 0.002605 0.31111 -3.0521722 Simbad
"HIP 35447" "07 19 06.536" "-35 11 03.21" 0.066 0.005 0.084342 0.002454 0.47327 -3.6683054 Simbad
"HIP 35483" "07 19 27.129" "-37 30 23.88" 0.062 0.004 0.080040 0.002359 0.38878 -4.5100093 Simbad
"HIP 35589" "07 20 38.808" "-52 05 09.33" 0.202 0.014 0.239793 0.007407 0.00562 -2.6995250 Simbad
"HIP 35590" "07 20 39.143" "-58 40 23.75" 0.072 0.005 0.088565 0.002581 0.50133 -3.3129425 Simbad
"HIP 35645" "07 21 20.669" "-41 59 25.12" 0.076 0.005 0.089175 0.002466 0.53080 -2.6349797 Simbad
"HIP 35648" "07 21 22.162" "-48 31 37.45" 0.096 0.007 0.124518 0.003600 0.40105 -4.0739956 Simbad
"HIP 35653" "07 21 23.151" "-45 30 12.52" 0.054 0.004 0.065817 0.001980 0.36888 -2.9541430 Simbad
"HIP 35716" "07 22 08.262" "-32 35 14.38" 0.095 0.007 0.115895 0.003652 0.43914 -2.9849515 Simbad
"HIP 35781" "07 22 49.298" "-66 32 19.89" 0.067 0.005 0.079131 0.002238 0.18469 -2.4262817 Simbad
"HIP 35787" "07 22 53.867" "+55 20 27.21" 0.087 0.006 0.100153 0.002874 0.55423 -2.1921954 Simbad
"HIP 35804" "07 23 05.605" "+17 24 34.74" 0.093 0.006 0.110625 0.003244 0.32934 -2.9375355 Simbad
"HIP 35822" "07 23 15.359" "-32 02 48.15" 0.046 0.003 0.058560 0.001735 0.82580 -4.1866180 Simbad
"HIP 35842" "07 23 28.136" "+22 56 43.26" 0.161 0.011 0.192021 0.005186 0.81716 -2.8200922 Simbad
"HIP 35869" "07 23 42.095" "-53 40 09.65" 0.083 0.006 0.103490 0.002933 0.14711 -3.4150581 Simbad
"HIP 35894" "07 24 00.019" "+10 54 22.53" 0.108 0.007 0.124584 0.003854 0.35736 -2.3690963 Simbad
"HIP 35913" "07 24 12.963" "+64 08 52.06" 0.091 0.006 0.105877 0.002871 0.77542 -2.4795320 Simbad
"HIP 35920" "07 24 17.235" "-22 54 45.93" 0.131 0.009 0.157614 0.004700 0.35685 -2.9571670 Simbad
"HIP 35951" "07 24 40.188" "-16 12 05.31" 0.204 0.014 0.174891 0.006840 2.17725 2.0791898 Simbad
"HIP 35993" "07 25 04.656" "-43 23 13.80" 0.086 0.006 0.100340 0.003048 0.37176 -2.3900046 Simbad
"HIP 36019" "07 25 21.962" "+81 15 26.85" 0.135 0.009 0.171011 0.005025 1.09514 -4.0012370 Simbad
"HIP 36056" "07 25 51.964" "+48 32 51.96" 0.109 0.008 0.131469 0.003661 1.21953 -2.8086472 Simbad
"HIP 36069" "07 25 56.238" "+73 51 03.05" 0.080 0.006 0.096959 0.002662 0.61571 -2.8265517 Simbad
"HIP 36188" "07 27 09.042" "+08 17 21.54" 0.606 0.042 0.704155 0.070258 0.00478 -2.3370314 Simbad
"HIP 36190" "07 27 09.397" "-41 03 19.88" 0.064 0.004 0.073311 0.002259 0.02292 -2.3278425 Simbad
"HIP 36211" "07 27 25.839" "+66 19 53.66" 0.121 0.008 0.148126 0.004124 0.71200 -3.3907301 Simbad
"HIP 36225" "07 27 34.485" "-18 29 30.80" 0.093 0.006 0.115488 0.003240 1.06234 -3.7479959 Simbad
"HIP 36252" "07 27 53.482" "-52 04 55.69" 0.059 0.004 0.069536 0.002017 0.34129 -2.6341174 Simbad
"HIP 36298" "07 28 17.580" "-43 57 47.27" 0.075 0.005 0.093162 0.002614 0.51403 -3.6323876 Simbad
"HIP 36340" "07 28 47.255" "+15 06 35.36" 0.150 0.010 0.179248 0.004938 0.76609 -2.9248476 Simbad
"HIP 36489" "07 30 28.598" "-50 36 32.30" 0.126 0.009 0.152141 0.004470 0.22024 -2.9046073 Simbad
"HIP 36636" "07 32 02.683" "+02 43 31.45" 0.128 0.009 0.146148 0.004416 0.06720 -2.0164070 Simbad
"HIP 36687" "07 32 49.349" "-02 02 03.74" 0.109 0.008 0.126862 0.003668 0.70601 -2.2327304 Simbad
"HIP 36728" "07 33 13.158" "-40 03 30.69" 0.117 0.008 0.144211 0.004425 0.14260 -3.4013631 Simbad
"HIP 36735" "07 33 21.803" "-68 46 06.70" 0.148 0.010 0.169004 0.004891 0.31306 -2.1004140 Simbad
"HIP 36861" "07 34 42.356" "-61 04 58.09" 0.062 0.004 0.073242 0.002365 0.41308 -2.8103812 Simbad
"HIP 36875" "07 34 51.061" "-44 17 46.10" 0.119 0.008 0.141637 0.003993 0.39573 -2.8296037 Simbad
"HIP 36908" "07 35 16.769" "-46 34 39.58" 0.095 0.007 0.110842 0.003279 0.29427 -2.2631958 Simbad
"HIP 36963" "07 35 55.557" "-37 26 44.67" 0.086 0.006 0.102049 0.003118 0.79140 -2.6748912 Simbad
"HIP 36999" "07 36 16.140" "+56 22 51.98" 0.074 0.005 0.085227 0.002319 1.35970 -2.2454948 Simbad
"HIP 37050" "07 36 49.709" "-63 18 01.54" 0.060 0.004 0.072664 0.002076 0.45193 -3.1659966 Simbad
"HIP 37094" "07 37 20.031" "-30 47 31.96" 0.078 0.005 0.089396 0.002514 0.19090 -2.2792265 Simbad
"HIP 37135" "07 37 50.284" "+14 20 26.21" 0.105 0.007 0.132069 0.003736 0.85615 -3.8670480 Simbad
"HIP 37136" "07 37 50.903" "+14 02 31.11" 0.109 0.008 0.133683 0.003670 1.05224 -3.0853858 Simbad
"HIP 37161" "07 38 11.886" "-51 38 41.41" 0.086 0.006 0.098067 0.002774 0.37639 -2.0112110 Simbad
"HIP 37212" "07 38 38.022" "-60 37 45.86" 0.088 0.006 0.100839 0.003056 0.38585 -2.1398826 Simbad
"HIP 37239" "07 38 53.288" "-04 47 38.69" 0.059 0.004 0.067239 0.002149 0.25972 -2.0598414 Simbad
"HIP 37269" "07 39 12.006" "+24 13 21.09" 0.174 0.012 0.205076 0.005685 1.26441 -2.5896480 Simbad
"HIP 37324" "07 39 44.969" "-47 03 27.96" 0.055 0.004 0.065574 0.001849 0.38500 -2.6434119 Simbad
"HIP 37365" "07 40 13.591" "+41 09 48.58" 0.111 0.008 0.133745 0.003637 0.87578 -2.8431768 Simbad
"HIP 37410" "07 40 50.602" "-58 52 14.57" 0.064 0.004 0.075763 0.002181 0.31781 -2.9408426 Simbad
"HIP 37424" "07 40 57.463" "-43 11 04.54" 0.086 0.006 0.099751 0.002917 0.55098 -2.2918806 Simbad
"HIP 37432" "07 41 01.104" "-47 49 52.10" 0.094 0.007 0.110205 0.003275 0.07499 -2.3149943 Simbad
"HIP 37446" "07 41 14.324" "-39 14 10.89" 0.072 0.005 0.085790 0.002650 0.54242 -2.7579040 Simbad
"HIP 37478" "07 41 35.156" "+03 37 29.20" 0.178 0.012 0.205813 0.005765 0.28956 -2.3177116 Simbad
"HIP 37514" "07 41 58.030" "-38 31 42.08" 0.113 0.008 0.132491 0.004299 0.19367 -2.4363723 Simbad
"HIP 37549" "07 42 23.778" "-56 08 45.66" 0.078 0.005 0.094028 0.002973 0.41372 -3.2055080 Simbad
"HIP 37557" "07 42 30.617" "-39 12 04.53" 0.089 0.006 0.102517 0.003021 0.12995 -2.2527502 Simbad
"HIP 37562" "07 42 34.630" "-36 22 29.32" 0.060 0.004 0.079357 0.002489 0.73016 -4.8393598 Simbad
"HIP 37653" "07 43 36.007" "-37 05 20.91" 0.047 0.003 0.055426 0.001692 0.35233 -2.8087670 Simbad
"HIP 37666" "07 43 42.916" "-38 12 06.76" 0.104 0.007 0.132579 0.003697 0.53616 -4.0826607 Simbad
"HIP 37697" "07 44 02.498" "-38 49 04.63" 0.083 0.006 0.096088 0.002647 0.32586 -2.1813238 Simbad
"HIP 37720" "07 44 13.017" "-69 49 17.74" 0.151 0.010 0.179648 0.005227 0.36824 -2.8647797 Simbad
"HIP 37752" "07 44 34.183" "-37 56 34.51" 0.142 0.010 0.172901 0.005070 0.54132 -3.0900853 Simbad
"HIP 37829" "07 45 21.502" "-39 20 42.74" 0.097 0.007 0.112128 0.003616 0.14363 -2.1611037 Simbad
"HIP 37836" "07 45 24.555" "+14 35 58.85" 0.057 0.004 0.065201 0.001774 0.47914 -2.0503280 Simbad
"HIP 37837" "07 45 25.068" "-44 52 57.28" 0.095 0.007 0.113953 0.003289 0.18169 -2.7076080 Simbad
"HIP 37838" "07 45 27.364" "-37 35 46.60" 0.099 0.007 0.117526 0.003260 0.69861 -2.6466217 Simbad
"HIP 37843" "07 45 29.136" "-14 41 25.93" 0.184 0.013 0.230475 0.006040 0.57671 -3.5749730 Simbad
"HIP 37904" "07 46 03.089" "-67 25 55.06" 0.082 0.006 0.096493 0.002721 0.30785 -2.4155228 Simbad
"HIP 37950" "07 46 43.884" "-48 06 43.65" 0.112 0.008 0.128677 0.004274 0.32841 -2.0846725 Simbad
"HIP 38079" "07 48 12.469" "-24 34 37.92" 0.116 0.008 0.133385 0.003793 0.56023 -2.1730642 Simbad
"HIP 38118" "07 48 41.718" "-31 37 04.11" 0.087 0.006 0.101997 0.002992 0.27710 -2.4995072 Simbad
"HIP 38210" "07 49 40.993" "-66 11 45.50" 0.181 0.013 0.210717 0.005867 0.44434 -2.2859194 Simbad
"HIP 38268" "07 50 26.001" "-36 14 30.82" 0.086 0.006 0.099505 0.002844 0.40393 -2.2507620 Simbad
"HIP 38280" "07 50 34.254" "-01 36 35.23" 0.057 0.004 0.074548 0.002129 0.48808 -4.3869380 Simbad
"HIP 38301" "07 50 48.565" "+05 51 33.52" 0.127 0.009 0.149077 0.004167 0.49029 -2.4529580 Simbad
"HIP 38310" "07 50 56.828" "-59 38 46.37" 0.091 0.006 0.107937 0.003099 0.57606 -2.8227592 Simbad
"HIP 38357" "07 51 21.397" "-43 46 27.19" 0.061 0.004 0.069099 0.002098 0.31749 -2.0247967 Simbad
"HIP 38408" "07 52 07.794" "-42 19 25.63" 0.044 0.003 0.057001 0.001715 0.61130 -4.3337060 Simbad
"HIP 38420" "07 52 14.462" "-42 19 21.10" 0.073 0.005 0.083276 0.002411 0.22476 -2.0551860 Simbad
"HIP 38425" "07 52 18.176" "-48 41 07.16" 0.040 0.003 0.051567 0.001543 0.69678 -3.8556778 Simbad
"HIP 38434" "07 52 22.634" "+03 50 35.32" 0.057 0.004 0.066535 0.002050 0.51279 -2.3837414 Simbad
"HIP 38503" "07 53 05.390" "+15 22 38.59" 0.074 0.005 0.090690 0.002524 0.39469 -3.3379793 Simbad
"HIP 38525" "07 53 21.064" "+28 03 07.17" 0.115 0.008 0.135341 0.003659 1.15028 -2.5426846 Simbad
"HIP 38553" "07 53 40.072" "-23 11 14.01" 0.085 0.006 0.101636 0.003111 0.48094 -2.7727098 Simbad
"HIP 38587" "07 54 04.880" "-34 01 20.05" 0.071 0.005 0.087692 0.002839 0.34045 -3.3384101 Simbad
"HIP 38650" "07 54 50.369" "-45 39 50.77" 0.072 0.005 0.082692 0.002630 0.32534 -2.1384390 Simbad
"HIP 38708" "07 55 30.687" "+08 43 17.64" 0.078 0.005 0.089410 0.002452 0.34353 -2.2819936 Simbad
"HIP 38722" "07 55 39.895" "+19 53 02.28" 0.233 0.016 0.268229 0.007293 0.64371 -2.2018020 Simbad
"HIP 38734" "07 55 47.646" "+10 26 36.41" 0.107 0.007 0.126761 0.003873 0.68039 -2.8229918 Simbad
"HIP 38761" "07 56 06.451" "+23 37 25.70" 0.094 0.006 0.119062 0.003320 1.11794 -4.1769210 Simbad
"HIP 38766" "07 56 09.173" "-47 18 59.08" 0.052 0.004 0.064290 0.001895 1.42672 -3.0724256 Simbad
"HIP 38857" "07 57 07.573" "+71 40 48.61" 0.086 0.006 0.098387 0.002720 0.41028 -2.0644230 Simbad
"HIP 38863" "07 57 12.759" "-63 17 48.60" 0.114 0.008 0.149489 0.005025 0.19331 -4.4360650 Simbad
"HIP 38885" "07 57 25.859" "-00 38 09.14" 0.104 0.007 0.121100 0.003731 0.34098 -2.4428709 Simbad
"HIP 39111" "08 00 05.569" "-48 54 19.50" 0.084 0.006 0.098379 0.003006 0.51271 -2.3965003 Simbad
"HIP 39138" "08 00 19.968" "-63 34 02.84" 0.184 0.013 0.213764 0.006988 0.05927 -2.2895590 Simbad
"HIP 39158" "08 00 32.415" "+18 50 35.28" 0.107 0.007 0.125253 0.003680 0.51042 -2.6075275 Simbad
"HIP 39203" "08 01 09.190" "-41 45 30.73" 0.057 0.004 0.072819 0.002025 1.40522 -3.9548006 Simbad
"HIP 39213" "08 01 13.890" "+04 52 47.35" 0.213 0.015 0.246174 0.006733 0.43874 -2.2116075 Simbad
"HIP 39238" "08 01 31.569" "-55 27 16.76" 0.099 0.007 0.114642 0.003707 0.10909 -2.2346323 Simbad
"HIP 39263" "08 01 43.757" "+25 05 22.07" 0.162 0.011 0.187882 0.005708 0.83492 -2.3529394 Simbad
"HIP 39296" "08 02 04.717" "+19 44 14.22" 0.076 0.005 0.089727 0.002518 0.39694 -2.7454436 Simbad
"HIP 39349" "08 02 36.738" "-46 49 21.42" 0.056 0.004 0.069107 0.001939 0.71770 -3.2767317 Simbad
"HIP 39386" "08 03 07.533" "-62 07 58.12" 0.064 0.004 0.074169 0.002135 0.63819 -2.5421900 Simbad
"HIP 39406" "08 03 21.159" "-69 58 17.72" 0.099 0.007 0.124488 0.003484 0.55257 -3.6411498 Simbad
"HIP 39438" "08 03 41.644" "-60 54 27.20" 0.050 0.003 0.064088 0.001879 0.27545 -4.6959580 Simbad
"HIP 39496" "08 04 23.320" "-54 59 43.42" 0.062 0.004 0.077046 0.002204 0.16407 -3.7616136 Simbad
"HIP 39535" "08 04 45.303" "+18 50 31.27" 0.147 0.010 0.171690 0.004780 0.45431 -2.4690225 Simbad
"HIP 39538" "08 04 47.074" "+79 28 46.60" 0.227 0.016 0.262641 0.007289 1.09738 -2.2275615 Simbad
"HIP 39576" "08 05 12.985" "-47 02 43.94" 0.047 0.003 0.055569 0.001622 0.02440 -2.8563154 Simbad
"HIP 39581" "08 05 17.135" "-44 19 41.44" 0.047 0.003 0.056770 0.001642 0.21754 -3.2565804 Simbad
"HIP 39585" "08 05 20.363" "-44 13 28.61" 0.061 0.004 0.069558 0.001930 0.49082 -2.1394014 Simbad
"HIP 39619" "08 05 46.457" "-33 19 59.18" 0.078 0.005 0.089393 0.002481 0.86368 -2.2785292 Simbad
"HIP 39675" "08 06 27.411" "-09 14 40.05" 0.139 0.010 0.174318 0.004836 0.79713 -3.5317764 Simbad
"HIP 39694" "08 06 43.380" "-43 48 31.71" 0.052 0.004 0.061483 0.001899 0.34951 -2.3706815 Simbad
"HIP 39716" "08 07 05.541" "-47 47 37.83" 0.093 0.006 0.118779 0.004018 0.55112 -4.2965490 Simbad
"HIP 39728" "08 07 12.378" "-46 38 27.02" 0.062 0.004 0.073110 0.002222 0.82459 -2.7773845 Simbad
"HIP 39768" "08 07 40.751" "-47 15 17.60" 0.067 0.005 0.082929 0.002572 0.36975 -3.1858250 Simbad
"HIP 39773" "08 07 41.784" "-49 00 37.68" 0.109 0.007 0.127801 0.004147 0.24419 -2.6858150 Simbad
"HIP 39842" "08 08 24.638" "+49 01 15.88" 0.078 0.005 0.090698 0.002503 0.91447 -2.5395810 Simbad
"HIP 39861" "08 08 34.573" "-44 21 01.87" 0.048 0.003 0.057099 0.001738 0.28779 -3.0330234 Simbad
"HIP 39879" "08 08 44.455" "-60 37 32.92" 0.086 0.006 0.102931 0.003631 0.28511 -2.8218403 Simbad
"HIP 39919" "08 09 09.506" "-48 41 03.88" 0.169 0.012 0.200981 0.006009 0.29356 -2.6650515 Simbad
"HIP 40019" "08 10 23.743" "-48 03 56.44" 0.051 0.003 0.058825 0.001771 0.29765 -2.6082122 Simbad
"HIP 40058" "08 10 58.885" "+14 37 46.11" 0.170 0.012 0.198613 0.005432 0.87137 -2.3844564 Simbad
"HIP 40065" "08 11 02.953" "+09 34 36.03" 0.107 0.007 0.122293 0.003317 0.93924 -2.1846752 Simbad
"HIP 40109" "08 11 33.642" "-46 13 58.45" 0.057 0.004 0.065706 0.001962 0.00361 -2.1764476 Simbad
"HIP 40152" "08 11 57.339" "-51 57 45.43" 0.063 0.004 0.076274 0.002379 0.54701 -3.3184586 Simbad
"HIP 40179" "08 12 22.614" "-73 10 55.60" 0.053 0.004 0.062505 0.002090 0.38975 -2.3761250 Simbad
"HIP 40218" "08 12 50.710" "-36 13 41.35" 0.060 0.004 0.070444 0.002106 0.03966 -2.6110810 Simbad
"HIP 40251" "08 13 15.085" "-52 14 10.27" 0.083 0.006 0.101402 0.003063 0.70010 -3.0669172 Simbad
"HIP 40255" "08 13 18.194" "-36 20 30.26" 0.063 0.004 0.076047 0.002390 0.26402 -3.2617393 Simbad
"HIP 40273" "08 13 27.768" "+48 16 50.94" 0.110 0.008 0.128808 0.003573 0.60599 -2.3510306 Simbad
